disc-reason-0,Unknown
disc-reason-1,Admin-disconnect
disc-reason-2,Remote-disconnect
disc-reason-3,Local-disconnect
disc-reason-4,No-resource
disc-reason-5,Service-limit-exceeded
disc-reason-6,PPP-LCP-negotiation-failed
disc-reason-7,PPP-LCP-no-response
disc-reason-8,PPP-LCP-loopback-detected
disc-reason-9,PPP-LCP-max-retry-reached
disc-reason-10,PPP-LCP-echo-failed
disc-reason-11,PPP-Auth-failed
disc-reason-12,PPP-Auth-failed-no-AAA-response
disc-reason-13,PPP-Auth-failed-no-peer-response
disc-reason-14,PPP-Auth-failed-max-retry-reached
disc-reason-15,Invalid-AAA-attr-in-auth-response
disc-reason-16,Could-not-apply-subscriber-ACL
disc-reason-17,Could-not-provide-service
disc-reason-18,AAA-return-IP-address-not-valid
disc-reason-19,Pool-IP-address-not-valid
disc-reason-20,PPP-IPCP-negotiation-failed
disc-reason-21,PPP-IPCP-no-response
disc-reason-22,PPP-IPCP-max-retry-reached
disc-reason-23,No-IPV4-address-for-subscriber
disc-reason-24,Inactivity-timeout
disc-reason-25,Absolute-timeout
disc-reason-26,Max-data-limit-exceeded
disc-reason-27,Invalid-source-IP-address
disc-reason-28,MSID-auth-failed
disc-reason-29,MSID-auth-failed-no-aaa-response
disc-reason-30,A11-max-retry-reached
disc-reason-31,A11-lifetime-expired
disc-reason-32,A11-msg-integrity-failure
disc-reason-33,PPP-LCP-remote-disconnect
disc-reason-34,Session-setup-timeout
disc-reason-35,PPP-keepalive-failure
disc-reason-36,Flow-add-failed
disc-reason-37,Call-type-detection-failed
disc-reason-38,Wrong-ipcp-params
disc-reason-39,MIP-remote-dereg
disc-reason-40,MIP-lifetime-expiry
disc-reason-41,MIP-proto-error
disc-reason-42,MIP-auth-failure
disc-reason-43,MIP-reg-timeout
disc-reason-44,Invalid-dest-context
disc-reason-45,Source-context-removed
disc-reason-46,Destination-context-removed
disc-reason-47,Required-service-address-unavailable
disc-reason-48,demux-mgr-failed-could-not-restart
disc-reason-49,internal-error
disc-reason-50,AAA-context-removed
disc-reason-51,invalid-service-type
disc-reason-52,mip-relay-req-failed
disc-reason-53,mip-rcvd-relay-failure
disc-reason-54,ppp_restart_inter_pdsn_handoff
disc-reason-55,gre-key-mismatch
disc-reason-56,invalid-tunnel-context
disc-reason-57,no-peer-lns-address
disc-reason-58,failed-tunnel-connect
